title,type,price,num
KKTV U40 康佳 40英寸4K超高清36核HDR 人工智能语音液晶平板电视机,家用电器--大 家 电--平板电视,0,0
创维 酷开(coocaa) 65C60 65英寸 4K超高清 无边框全面屏 防蓝光护眼 32G存储 HDR 硬屏 人工智能液晶电视机,家用电器--大 家 电--平板电视,0,0
长虹 50D3S 50英寸电视 4K超高清 智能WiFi网络 智能语音控制 蓝牙 平板电视机（黑色）,家用电器--大 家 电--平板电视,0,0
长虹 43M1 43英寸电视 蓝光节能平板液晶电视机（黑色）,家用电器--大 家 电--平板电视,0,0
TCL 55Q1D 55英寸34核人工智能 超薄全面屏HDR4K网络电视机（黑色）,家用电器--大 家 电--平板电视,0,0
创维 酷开(coocaa) 32K5C 32英寸 高清 智能WiFi 防蓝光护眼 15核 丰富影视 人工智能液晶网络电视机,家用电器--大 家 电--平板电视,0,0
创维（SKYWORTH）55H9S 55英寸Unibody超薄全面屏 AI人工智能语音 4K HDR超高清智能网络液晶平板电视,家用电器--大 家 电--平板电视,0,0
长虹 39M1 39英寸电视 窄边高清液晶电视机（黑色）,家用电器--大 家 电--平板电视,0,0
海信（Hisense） LED55EC500U 55英寸人工智能  丰富影视教育资源,家用电器--大 家 电--平板电视,0,0
长虹 58D2P 58英寸32核人工智能4K超高清HDR全金属轻薄语音平板LED液晶电视机（浅金色）,家用电器--大 家 电--平板电视,0,0
海信（Hisense）HZ75E5A  75英寸 超高清4K HDR  全金属机身   MEMC运动补偿  AI人工智能液晶电视机,家用电器--大 家 电--平板电视,0,0
KKTV K5 康佳 50英寸 U50K5 2GB+16GB HDR 4K超高清 人工智能 语音 网络液晶平板电视机,家用电器--大 家 电--平板电视,0,0
长虹 50D2P 50英寸电视 人工智能语音版 HDR 4K超高清液晶智能网络平板电视（浅金色）,家用电器--大 家 电--平板电视,0,0
小米（MI）小米电视4 55英寸 L55M5-AB 4.9mm超薄 2GB+8GB  HDR 4K超高清 蓝牙语音 人工智能语音平板电视,家用电器--大 家 电--平板电视,0,0
小米（MI）小米电视4S 55英寸 曲面 L55M5-AQ 2GB+8GB HDR 4K超高清 蓝牙语音 人工智能语音网络液晶平板电视,家用电器--大 家 电--平板电视,0,0
